NAME,EVENT,TYPE,VAL
299-E33-28,2022-02-22 11:26:00,MAN,121.48899999999999
299-E33-34,2022-02-22 11:34:00,MAN,121.491
299-E32-8,2022-02-22 11:43:00,MAN,121.49600000000001
699-47-5,2022-02-22 11:47:00,MAN,110.242
299-E32-6,2022-02-22 11:49:00,MAN,121.49600000000001
699-97-47D,2022-02-22 12:06:00,MAN,117.40899999999999
699-33-56,2022-02-22 13:13:00,MAN,121.557
699-19-43,2022-02-23 07:38:00,MAN,121.78299999999999
699-20-20,2022-02-23 07:51:00,MAN,120.791
699-26-15A,2022-02-23 08:10:00,MAN,120.163
699-34-41B,2022-02-23 08:22:00,MAN,121.434
699-28-40,2022-02-23 08:35:00,MAN,121.42
699-34-42,2022-02-23 09:08:00,MAN,121.43799999999999
699-17-5,2022-02-23 09:46:00,MAN,116.965
699-20-E12O,2022-02-23 09:48:00,MAN,109.325
699-31-31,2022-02-23 10:03:00,MAN,121.307
699-32-43,2022-02-23 10:44:00,MAN,121.436
699-32-22B,2022-02-23 10:52:00,MAN,121.963
699-20-E5A,2022-02-23 11:14:00,MAN,112.954
699-48-7A,2022-02-23 11:18:00,MAN,110.40700000000001
699-40-62,2022-02-28 08:10:00,MAN,122.479
699-81-58,2022-02-28 08:14:00,MAN,119.791
699-31-11,2022-02-28 09:26:00,MAN,118.118
299-W27-2,2022-02-28 09:53:00,MAN,131.71200000000002
699-S18-E2A,2022-02-28 10:08:00,MAN,110.771
699-S18-E2AP,2022-02-28 10:10:00,MAN,113.545
699-S18-E2B,2022-02-28 10:12:00,MAN,110.759
699-S19-11,2022-02-28 10:43:00,MAN,119.161
699-37-E4,2022-02-28 11:09:00,MAN,110.229
299-W14-11,2022-02-28 11:31:00,MAN,126.71
699-S11-E12A,2022-02-28 11:31:00,MAN,107.178
699-S3-E12,2022-02-28 11:57:00,MAN,108.458
699-10-E12Q,2022-02-28 12:24:00,MAN,109.29899999999999
699-42-12A,2022-02-28 12:41:00,MAN,114.022
699-20-E12,2022-02-28 12:43:00,MAN,109.31
699-20-E12P,2022-02-28 12:45:00,MAN,119.869
699-20-E12Q,2022-02-28 12:48:00,MAN,109.65100000000001
699-20-E12R,2022-02-28 12:51:00,MAN,109.56299999999999
699-20-E5A,2022-02-28 13:00:00,MAN,112.96600000000001
699-24-1P,2022-02-28 13:10:00,MAN,119.875
699-24-1Q,2022-02-28 13:12:00,MAN,113.223
699-24-1R,2022-02-28 13:14:00,MAN,113.656
699-24-1S,2022-02-28 13:17:00,MAN,113.77
699-19-88,2022-02-28 13:20:00,MAN,157.26
699-29-4,2022-02-28 13:30:00,MAN,115.919
699-35-9,2022-02-28 13:39:00,MAN,116.29799999999999
699-38-68A,2022-03-01 07:47:00,MAN,128.796
699-41-42,2022-03-01 08:19:00,MAN,122.083
699-37-43,2022-03-01 08:50:00,MAN,121.465
699-42-40A,2022-03-01 09:01:00,MAN,122.959
699-42-40C,2022-03-01 09:38:00,MAN,122.809
699-42-39B,2022-03-01 10:36:00,MAN,123.02
699-42-39A,2022-03-01 11:10:00,MAN,123.008
299-E27-14,2022-03-02 07:46:00,MAN,121.512
699-38-15,2022-03-02 07:59:00,MAN,118.75200000000001
699-35-9,2022-03-02 08:37:00,MAN,116.292
299-E27-23,2022-03-02 08:42:00,MAN,121.5
699-29-4,2022-03-02 09:25:00,MAN,115.921
299-E27-13,2022-03-02 09:33:00,MAN,121.456
