SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-84,2017-10-20 00:00:00,2.1
199-H4-84,2017-11-10 00:00:00,1.75
199-H4-84,2017-12-14 00:00:00,25.5
199-H4-84,2018-01-10 00:00:00,53.5
199-H4-84,2018-02-12 00:00:00,85.5
199-H4-84,2018-03-20 00:00:00,28.0
199-H4-84,2018-04-26 00:00:00,23.0
199-H4-84,2018-05-17 00:00:00,6.0
199-H4-84,2018-06-20 00:00:00,46.5
199-H4-84,2018-07-26 00:00:00,32.0
199-H4-84,2018-08-16 00:00:00,22.5
199-H4-84,2018-09-12 00:00:00,11.5
199-H4-84,2018-11-13 00:00:00,19.0
199-H4-84,2019-03-07 00:00:00,20.25
199-H4-85,2014-02-21 00:00:00,19.65
199-H4-85,2015-02-26 00:00:00,20.799999999999997
199-H4-85,2015-05-19 00:00:00,19.549999999999997
199-H4-85,2015-08-14 00:00:00,19.0
199-H4-85,2015-11-19 00:00:00,17.0
199-H4-85,2016-02-10 00:00:00,14.5
199-H4-85,2016-05-22 00:00:00,5.75
199-H4-85,2016-10-07 00:00:00,8.899999999999999
199-H4-85,2016-11-20 00:00:00,4.15
199-H4-85,2017-02-14 00:00:00,3.2
199-H4-85,2017-05-25 00:00:00,1.85
199-H4-85,2018-02-12 00:00:00,4.35
199-H4-85,2018-05-17 00:00:00,1.7
199-H4-85,2018-11-13 00:00:00,6.5
199-H4-85,2019-03-07 00:00:00,3.575
199-H4-86,2015-02-26 00:00:00,2.85
199-H4-86,2015-05-07 00:00:00,38.75
199-H4-86,2015-08-27 00:00:00,14.0
199-H4-86,2015-11-11 00:00:00,7.800000000000001
199-H4-86,2016-02-24 00:00:00,5.6
199-H4-86,2016-05-11 00:00:00,5.65
199-H4-86,2016-08-18 00:00:00,9.5
199-H4-86,2016-11-10 00:00:00,10.5
199-H4-86,2017-02-02 00:00:00,8.75
199-H4-86,2017-05-03 00:00:00,11.0
199-H4-86,2017-10-17 00:00:00,20.0
199-H4-86,2017-11-14 00:00:00,17.0
199-H4-86,2018-02-06 00:00:00,10.0
199-H4-86,2018-05-17 00:00:00,7.449999999999999
199-H4-86,2018-08-01 00:00:00,14.5
199-H4-86,2018-10-22 00:00:00,8.05
199-H4-86,2019-01-29 00:00:00,6.35
199-H4-88,2016-06-01 00:00:00,7.85
199-H4-88,2016-06-13 00:00:00,8.75
199-H4-88,2016-10-11 00:00:00,1.9
199-H4-88,2016-11-22 00:00:00,7.95
199-H4-88,2016-12-07 00:00:00,9.0
199-H4-88,2017-01-29 00:00:00,9.0
199-H4-88,2017-02-21 00:00:00,4.7
199-H4-88,2017-03-10 00:00:00,13.0
199-H4-88,2017-04-04 00:00:00,8.85
199-H4-88,2017-05-03 00:00:00,37.5
199-H4-88,2017-06-07 00:00:00,32.5
199-H4-88,2017-07-05 00:00:00,22.5
199-H4-88,2017-08-29 00:00:00,19.5
199-H4-88,2017-09-29 00:00:00,16.0
199-H4-88,2017-10-20 00:00:00,13.0
199-H4-88,2017-11-10 00:00:00,9.65
199-H4-88,2017-12-14 00:00:00,9.4
199-H4-88,2018-01-10 00:00:00,7.199999999999999
199-H4-88,2018-02-12 00:00:00,26.5
199-H4-88,2018-03-20 00:00:00,5.85
199-H4-88,2018-04-26 00:00:00,19.5
199-H4-88,2018-05-17 00:00:00,33.0
199-H4-88,2018-06-20 00:00:00,13.5
199-H4-88,2018-07-23 00:00:00,16.0
199-H4-88,2018-08-16 00:00:00,15.0
199-H4-88,2018-09-12 00:00:00,12.0
199-H4-88,2018-11-13 00:00:00,10.1
199-H4-88,2019-03-07 00:00:00,10.4
199-H4-88,2019-05-01 00:00:00,9.23
199-H4-88,2021-02-22 00:00:00,5.0
199-H4-88,2021-06-08 00:00:00,6.279999999999999
199-H4-89,2016-11-22 00:00:00,1.5
199-H4-89,2017-05-25 00:00:00,2.65
199-H4-89,2017-11-10 00:00:00,1.5
199-H4-89,2018-11-13 00:00:00,2.8
199-H4-89,2019-03-07 00:00:00,2.125
199-H4-89,2021-06-08 00:00:00,2.505
