"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-D5-133"|4/18/2014 9:41:00|119.335|"MAN"|573731.550|151497.370
"199-D5-16"|4/18/2014 10:10:00|118.609|"MAN"|573917.450|151652.510
"199-D5-97"|4/18/2014 10:16:00|117.923|"MAN"|573250.110|151302.470
"199-D5-34"|4/30/2014 8:27:00|117.891|"MAN"|573240.420|151554.120
"199-D5-133"|4/30/2014 8:38:00|119.376|"MAN"|573731.550|151497.370
"199-D5-103"|4/30/2014 9:17:00|118.949|"MAN"|573505.870|151460.870
"199-D5-145"|4/30/2014 9:34:00|117.655|"MAN"|573215.620|151396.280
"199-D5-97"|4/30/2014 10:53:00|117.960|"MAN"|573250.110|151302.470
"199-D2-11"|4/30/2014 11:47:00|118.350|"MAN"|573328.160|151120.730
"199-D5-43"|4/30/2014 12:04:00|118.029|"MAN"|573179.976|151269.430
"199-D5-147"|4/30/2014 12:12:00|117.598|"MAN"|572993.130|151380.780
"199-D5-41"|4/30/2014 12:22:00|118.151|"MAN"|573358.160|151792.191
"199-D5-106"|4/30/2014 12:27:00|119.078|"MAN"|573503.740|151597.970
"199-D5-17"|4/30/2014 12:34:00|119.135|"MAN"|573730.520|151322.830
"199-H3-3"|5/5/2014 8:47:00|115.830|"MAN"|577562.091|152363.166
"199-H4-84"|5/5/2014 8:47:00|115.086|"MAN"|577902.580|152848.730
"199-H6-1"|5/5/2014 9:06:00|115.872|"MAN"|578236.557|152247.630
