"EVENT","T_GAUGE","F_GAUGE","H_GAUGE","D_GAUGE","N_GAUGE","K_GAUGE","B_GAUGE","PRD"
2021-12-06,105.893145076154,114.596793005674,115.971824456936,118.424862470826,118.697325336765,119.503766664543,120.320556308282,125.3093125
2021-12-07,105.730477064409,114.369949942206,115.78281298315,118.252570268662,118.513226594234,119.283020211557,120.107186686667,125.06315475
2021-12-08,105.732988132262,114.408453565156,115.801949782256,118.251669077487,118.511785105618,119.277202142653,120.087220636836,125.00155975
2021-12-09,105.743006980981,114.518763320403,115.94319456484,118.414831727457,118.681273224616,119.499869380772,120.326026732956,125.344936
2021-12-10,105.851389841777,114.640135225892,116.022375421244,118.47519771514,118.747773204742,119.572791955868,120.391382796929,125.414532
2021-12-11,106.002029079946,114.894268790184,116.255518620397,118.685945094002,118.970497582751,119.843440885907,120.642250102447,125.65173625
2021-12-12,105.836505512345,114.564030156044,115.964036007072,118.426819650182,118.697365223174,119.510759879875,120.333520485605,125.34757125
2021-12-13,105.984727211264,114.760833935428,116.099399049184,118.529664133859,118.808651508424,119.635410194492,120.438638215911,125.42224725
2021-12-14,105.877037809563,114.630455785935,116.022050863709,118.477051552005,118.75044943772,119.574324398239,120.389129207527,125.38338525
2021-12-15,105.807031897,114.514948310888,115.899480154588,118.350038187931,118.616524424594,119.40634894408,120.219604969243,125.1758355
2021-12-16,105.748113465969,114.455795197314,115.847091616928,118.294959181777,118.557027730625,119.334005362161,120.142179539142,125.0598845
2021-12-17,105.648664354158,114.380672568336,115.840744362541,118.335353980241,118.596170907141,119.402515364303,120.245140167657,125.3004225
2021-12-18,106.057229556239,114.92361312119,116.254088169097,118.678603543504,118.965195095883,119.830555366258,120.630895945625,125.653292
2021-12-19,106.049380324844,114.942397501733,116.290375451182,118.720069735016,119.007862180256,119.887519990025,120.690392959228,125.73409575
2021-12-20,106.002092156482,114.767797441259,116.110388596497,118.542198519811,118.822301900175,119.651801474105,120.454518870145,125.43282
2021-12-21,105.86208921425,114.679172871977,116.080959441398,118.540223566957,118.81537735616,119.66061619475,120.481012488306,125.52518075
2021-12-22,105.915772067258,114.629694813374,115.994184138252,118.438175780069,118.711739892205,119.518701311346,120.328948403629,125.30051775
